iter	Passed	Remaining
0	367	183318
1	717	178600
2	1080	178948
3	1446	179387
4	1793	177596
5	2169	178653
6	2545	179288
7	2915	179290
8	3279	178929
9	3635	178139
10	4000	177850
11	4364	177493
12	4727	177087
13	5099	177014
14	5463	176663
15	5820	176082
16	6173	175412
17	6533	174948
18	6895	174554
19	7267	174419
20	7616	173719
21	7969	173164
22	8388	173963
23	8740	173358
24	9103	172963
25	9469	172627
26	9834	172281
27	9971	168094
28	10351	168128
29	10720	167948
30	11091	167805
31	11466	167704
32	11844	167612
33	12226	167579
34	12586	167220
35	12935	166729
36	13305	166497
37	13659	166070
38	14023	165763
39	14386	165443
40	14748	165114
41	15111	164787
42	15477	164498
43	15923	165027
44	16392	165746
45	16865	166457
46	17260	166362
47	17625	165972
48	17991	165591
49	18354	165190
50	18714	164762
51	19065	164254
52	19429	163864
53	19776	163341
54	20144	162986
55	20500	162543
56	20858	162111
57	21215	161675
58	21597	161431
59	21984	161216
60	22350	160851
61	22704	160397
62	23073	160047
63	23425	159586
64	23786	159185
65	24139	158732
66	24508	158392
67	24866	157975
68	25217	157517
69	25585	157168
70	25938	156726
71	26299	156334
72	26661	155954
73	27020	155549
74	27378	155142
75	27723	154667
76	28065	154176
77	28413	153723
78	28773	153336
79	29129	152927
80	29488	152538
81	29838	152102
82	30189	151676
83	30539	151243
84	30895	150844
85	31256	150466
86	31618	150098
87	31968	149670
88	32345	149373
89	32706	148995
90	33075	148657
91	33435	148279
92	33783	147849
93	34133	147428
94	34484	147014
95	34846	146645
96	35210	146288
97	35575	145932
98	35928	145528
99	36285	145140
100	36633	144720
101	36978	144288
102	37327	143874
103	37677	143464
104	38033	143080
105	38379	142656
106	38733	142264
107	39097	141910
108	39460	141552
109	39813	141156
110	40162	140749
111	40517	140364
112	40877	139996
113	41223	139581
114	41566	139157
115	41931	138807
116	42290	138437
117	42658	138099
118	43028	137764
119	43398	137427
120	43760	137066
121	44141	136766
122	44494	136377
123	44866	136048
124	45232	135698
125	45592	135329
126	45941	134929
127	46297	134552
128	46662	134199
129	47016	133815
130	47378	133456
131	47893	133522
132	48340	133390
133	48779	133232
134	49134	132844
135	49502	132491
136	49859	132109
137	50220	131739
138	50577	131355
139	50942	130995
140	51314	130652
141	51668	130262
142	52039	129916
143	52387	129512
144	52754	129156
145	53114	128785
146	53469	128400
147	53829	128026
148	54182	127637
149	54559	127305
150	54920	126935
151	55290	126586
152	55640	126190
153	55988	125793
154	56349	125423
155	56695	125020
156	57049	124637
157	57412	124272
158	57754	123864
159	58114	123494
160	58458	123088
161	58815	122713
162	59174	122342
163	59531	121966
164	59881	121577
165	60239	121205
166	60593	120824
167	60947	120444
168	61310	120081
169	61674	119721
170	62037	119359
171	62382	118962
172	62740	118589
173	63093	118210
174	63447	117830
175	63800	117450
176	64158	117080
177	64516	116709
178	64878	116346
179	65230	115964
180	65601	115617
181	65961	115251
182	66333	114904
183	66691	114536
184	67052	114171
185	67410	113801
186	67756	113411
187	68115	113042
188	68460	112651
189	68815	112277
190	69171	111906
191	69536	111547
192	69898	111186
193	70259	110821
194	70611	110443
195	70960	110061
196	71315	109688
197	71696	109354
198	72050	108981
199	72416	108624
200	72775	108257
201	73134	107891
202	73490	107520
203	73848	107152
204	74198	106772
205	74557	106407
206	74921	106048
207	75267	105663
208	75620	105289
209	75980	104925
210	76355	104581
211	76716	104218
212	77081	103860
213	77440	103494
214	77791	103118
215	78140	102740
216	78513	102392
217	78871	102026
218	78929	101274
219	79421	101081
220	79881	100846
221	80341	100607
222	80696	100237
223	81055	99872
224	81414	99506
225	81770	99137
226	82131	98775
227	82480	98397
228	82830	98022
229	83191	97659
230	83369	97083
231	83707	96696
232	84049	96314
233	84399	95941
234	84739	95557
235	85098	95194
236	85462	94837
237	85816	94470
238	86182	94115
239	86533	93744
240	86891	93381
241	87253	93022
242	87305	92335
243	87661	91973
244	88020	91612
245	88386	91260
246	88737	90893
247	89100	90537
248	89453	90172
249	89813	89813
250	90160	89441
251	90525	89088
252	90889	88733
253	91228	88355
254	91570	87979
255	91924	87615
256	92278	87251
257	92640	86895
258	92985	86523
259	93338	86158
260	93686	85789
261	94044	85430
262	94404	85071
263	94760	84710
264	95109	84342
265	95457	83974
266	95796	83597
267	96153	83237
268	96503	82871
269	96851	82502
270	97212	82146
271	97568	81785
272	97919	81420
273	98276	81060
274	98643	80707
275	99004	80351
276	99380	80006
277	99735	79644
278	100094	79286
279	100455	78929
280	100804	78562
281	101159	78201
282	101517	77841
283	101887	77491
284	102236	77125
285	102579	76755
286	102614	76156
287	102974	75800
288	103335	75445
289	103683	75081
290	104033	74718
291	104392	74362
292	104758	74010
293	104891	73495
294	105251	73140
295	105615	72789
296	105652	72213
297	106006	71856
298	106368	71505
299	106728	71152
300	107085	70797
301	107439	70440
302	107796	70085
303	108157	69733
304	108511	69376
305	108874	69025
306	109236	68673
307	109612	68329
308	109986	67985
309	110329	67621
310	110686	67265
311	111203	67007
312	111660	66711
313	112118	66413
314	112477	66058
315	112827	65697
316	113189	65342
317	113556	64991
318	113920	64638
319	114155	64212
320	114510	63854
321	114874	63502
322	115222	63140
323	115588	62788
324	115943	62431
325	116289	62068
326	116650	61714
327	117006	61356
328	117366	61002
329	117725	60646
330	118075	60286
331	118118	59770
332	118480	59417
333	118840	59064
334	118951	58588
335	119310	58235
336	119661	57878
337	120012	57520
338	120396	57179
339	120741	56819
340	121113	56472
341	121455	56111
342	121809	55755
343	122168	55401
344	122532	55050
345	122877	54691
346	123226	54333
347	123585	53979
348	123649	53498
349	124007	53146
350	124369	52794
351	124730	52443
352	125086	52090
353	125421	51727
354	125760	51367
355	126102	51007
356	126464	50656
357	126822	50303
358	127186	49953
359	127523	49592
360	127886	49241
361	128291	48906
362	128672	48562
363	128768	48111
364	128858	47659
365	129220	47310
366	129583	46960
367	129931	46605
368	130271	46248
369	130624	45895
370	130982	45543
371	131360	45199
372	131735	44853
373	132114	44509
374	132470	44156
375	132819	43802
376	133188	43454
377	133538	43099
378	133878	42742
379	134222	42386
380	134579	42033
381	134639	41590
382	134994	41238
383	135355	40888
384	135712	40537
385	135936	40147
386	136297	39797
387	136633	39440
388	136990	39089
389	137332	38734
390	137686	38383
391	138043	38032
392	138383	37677
393	138726	37322
394	139083	36971
395	139438	36620
396	139775	36264
397	140128	35912
398	140477	35559
399	140837	35209
400	141180	34855
401	141545	34506
402	141910	34157
403	141973	33736
404	142353	33391
405	142804	33063
406	143313	32747
407	143778	32420
408	144143	32071
409	144500	31719
410	144861	31368
411	145221	31018
412	145573	30665
413	145935	30315
414	146274	29959
415	146621	29606
416	146974	29253
417	147332	28902
418	147682	28549
419	148034	28197
420	148390	27845
421	148727	27490
422	149077	27137
423	149432	26784
424	149768	26429
425	150123	26077
426	150485	25727
427	150843	25375
428	151195	25023
429	151553	24671
430	151923	24321
431	152278	23969
432	152629	23616
433	152973	23263
434	153353	22914
435	153695	22560
436	154075	22212
437	154420	21858
438	154762	21504
439	155120	21152
440	155463	20798
441	155824	20447
442	156168	20093
443	156282	19711
444	156619	19357
445	156977	19006
446	157333	18654
447	157670	18301
448	158026	17949
449	158385	17598
450	158744	17247
451	159106	16896
452	159451	16543
453	159816	16192
454	160168	15840
455	160511	15487
456	160875	15137
457	161235	14785
458	161603	14435
459	161948	14082
460	162306	13730
461	162665	13379
462	163028	13028
463	163392	12676
464	163739	12324
465	164116	11974
466	164498	11624
467	164869	11273
468	165248	10922
469	165605	10570
470	165943	10217
471	166288	9864
472	166661	9513
473	167018	9161
474	167383	8809
475	167740	8457
476	168101	8105
477	168459	7753
478	168817	7401
479	169180	7049
480	169538	6696
481	169880	6344
482	170224	5991
483	170583	5639
484	170928	5286
485	171299	4934
486	171656	4582
487	172025	4230
488	172375	3877
489	172716	3524
490	173076	3172
491	173430	2820
492	173791	2467
493	174167	2115
494	174669	1764
495	175160	1412
496	175608	1060
497	175988	706
498	176347	353
499	176691	0
